序号		管理模块	规则类型	触发条件	执行主体	关联模块	变动规则	风险预警	企业需提交资料/申请文件	保险公司产出/批复文件
	17		出运申报期限	货物实际出运日	企业	出运申报	必须于出运日后10个工作日内申报(行业通用)。日申报:3个工作日；月申报:次月10日前	超时未申报触发预警	"1.出运申报表/数据
2.商业发票
3.提单/运单（部分保单要求）"	申报确认回执
	18		应付款日计算	出运日+信用期限(账期天数)	系统自动	理赔管理	应付款日=出运日+买方信用期限天数→以此为逾期判断的起算点	—	—	保单载明的信用期限
	19		逾期状态判定	应付款日+1天起	系统自动	理赔管理	应付款日次日未收汇→进入逾期状态→按逾期天数分段监控	逾期1天即触发内部监控	—	应收账款逾期监控报表
	20		拖欠风险报损触发	逾期>90天(拖欠)或知道买方破产/拒收时	系统自动	理赔管理	逾期≥90天→触发"拖欠风险"→企业必须在此后5个工作日内报损	逾期85天时触发橙色预警(距报损死线倒计时)	—	报损预警通知书
	21		出险通知期限	知道或应当知道风险发生后	企业	理赔管理	5个工作日内通知保险公司。拖欠风险:发生之日起30日内报损。其他风险:10个工作日内报损	风险发生后立即触发倒计时	"1.出险通知书/报案表
2.初步损失情况说明
3.涉及买方名称及发票号"	报案受理回执
	22		索赔申请期限	损失发生日	企业	理赔管理	"损失发生后60天内提交索赔申请。
拖欠:应付款日后60天内。最晚不超应付款日后120天"	距损失发生日55天时触发索赔逾期预警	"1.索赔申请书
2.贸易合同
3.商业发票
4.提单/运单
5.报关单
6.买方收货凭证
7.损失证明（破产/拖欠/拒收/政治风险）
8.催款记录（拖欠案件）
9.追偿授权书
10.收款银行账户信息"	索赔资料收件清单
	23		保单到期处理	保单止期24时	系统自动	所有模块	保单终止→所有限额同步失效→未收汇部分若已申报仍受原保单保障→新出运需等续保生效	保单到期前30天触发续保提醒	—	保单到期通知书
	24		续保申请启动	保单到期前30天(建议)	企业	保费管理、限额管理	提交续保申请→保险公司重新核保(评估赔付率/限额利用率)→新保单生成→限额重新核定/结转	续保提醒同时附带年度数据汇总	"1.续保申请书
2.更新后的买方清单
3.上一年度出运申报汇总
4.上一年度收汇/逾期情况
5.变更信息（如有）"	"1.新保险单
2.新限额批复明细表
3.续保费率通知书"
	25		续保空窗期处理	原保单到期日←→新保单生效日	企业	出运申报	空窗期内原则上无保障覆盖→出运不可申报，即使申报也不受保障	续保未完成期间暂停出运申报	—	—
四、保费管理	26	保费管理	保费计算	投保时	系统自动	限额管理	保费=预计可保营业额×投保比例(最高90%)×适用费率(0.5%-1.8%)	—	"1.预计可保营业额数据
2.买方国别/行业信息
3.买方信用等级材料"	保费计算明细表/保费通知单
	27		保费缴纳时限	收到保费通知后	企业	出运申报	PICC:保费通知到达后10个工作日内足额缴纳。行业通用:保单生效后30天内	缴费截止日前3天触发提醒	保费缴款凭证（银行转账记录/支票/在线支付截图）	保费收据/发票
	28		保费缴费状态校验	企业提交出运申报时	系统自动	出运申报	IF(缴费状态=未缴且当前日期>缴费到期日)→冻结该保单下所有出运申报权限	未缴保费时出运申报被阻止	—	缴费状态通知
	29		年度保费结算	保单到期时	系统自动	出运申报	实际申报额>预计额→追收差额保费。实际申报额<预计额→通常不退费(最低保费制)	保单到期前30天生成预估差额	全年出运申报汇总数据	"1.年度保费结算单
2.差额保费追收通知（如有）"
	30		新增高限额买方加费	新增买方限额导致整体风险敞口显著扩大时	保险公司	限额管理	核保评估→若风险敞口扩大→要求加收保费→企业确认后生效	—	企业确认函（同意加费）	保费调整通知书
	31		高赔付率导致续保费率上调	续保时上年赔付率>60%	保险公司	续保、理赔管理	IF(赔付率>60%)→续保费率上浮(上浮幅度视赔付严重程度而定)	赔付率超60%时触发费率上浮预警	赔付记录说明材料（如有争议）	续保费率通知书（含上浮说明）
	32		限额利用率低导致续保费率优化	续保时限额利用率<50%	保险公司	续保、限额管理	保险公司可能要求缩减买方清单/调低保额→保费相应下调	保费利用率低时触发优化建议	优化后的买方清单	续保方案建议书
	33		退保处理	企业主动退保【提前30日书面通知】	企业	所有模块	"按短期费率计算退费→已生效期间按短期费率扣除→退还剩余保费。
生效时间越长，退费比例越低"	—	"1.退保申请书
2.保单正本
3.退保原因说明"	"1.退保确认函
2.退费结算单
3.退费凭证"
五、出运申报管理	34	出运申报	出运申报提交	货物发运后	企业	限额管理、保费管理	提交申报数据(发票号、金额、出运日期、买方、付款条件等)→系统校验限额余额→通过后计入已用额度	出运后10个工作日内必须完成	"1.申报明细数据（发票号、发票金额、发票日期、出运日、买方名称、付款条件、应付款日）
2.商业发票（部分保单要求）
3.提单/运单（部分保单要求）
4.货物描述/HS编码（选填）"	申报确认回执
	35		限额余额校验	申报时	系统自动	限额管理	IF(申报金额≤买方剩余限额)→通过ELSE→拒绝	限额余额不足时即时提示	—	限额余额查询结果/超限提示
	36		逾期申报	超过申报期限后补报	系统自动+人工	理赔管理	迟申报的，申报前已发生风险或损失的，保险公司原则上不承担赔偿责任	超期未申报触发迟申报预警	"1.迟申报说明函
2.迟报原因说明
3.相关出运单证"	迟申报处理结果通知书（接受/拒绝）
跨模块联动	37	跨模块联动	限额闲置→撤销→重新申请	限额连续3个月未使用	系统提醒+自动撤销→企业	限额管理+闲置期管理	撤销→需重新资信调查(最长1个月)→审批后重新生效	闲置预警60天→撤销90天	"1.信用额度重新申请表
2.买方最新信息
3.恢复交易的原因说明"	"1.新限额批复函
2.资信调查报告"
	38		申报→逾期→报损→索赔	出运后收汇异常	企业+系统	出运申报+期限管理+理赔管理	出运申报→应付款日未收→逾期>90天→5工作日报损→60天索赔→30天定损→15天赔款	全程约180-240天	见各节点对应资料清单	见各节点对应产出文件
	39		保费未缴→申报冻结	保费到期未缴	系统自动	保费管理+出运申报	缴费到期日次日→系统冻结出运申报权限→补缴后解冻	缴费到期前3天预警	补缴保费凭证	"1.保费催缴通知书
2.申报权限冻结/解冻通知书"
	40		高赔付→续保费率上调→保费增加	续保时上年赔付率高	保险公司+企业	保费管理+理赔管理+续保	赔付率>60%→费率上调→次年保费增加→用更高成本获取同等保障	赔付率监控贯穿全年	"1.赔付情况说明（如有争议）
2.风控改进措施报告"	"1.续保费率通知书
2.赔付率分析报告"
